data_source,agency,country,entity,field,target_field,start_date,end_date,rules_order,match_type,condition,results
CM360,Jakala,ES,ESALL,placement,business_classification_1,,,4,REGEXP_CONTAINS,"""moto""","""pc-personal-lines"""
CM360,Jakala,ES,ESALL,placement,business_classification_2,,,11,REGEXP_CONTAINS,"""salud""","""personal-health"""
CM360,Jakala,ES,ESALL,placement,business_classification_2,,,10,REGEXP_CONTAINS,"""health""","""personal-health"""
CM360,OMD,ES,ESAXA,placement,media_target,,,37,REGEXP_CONTAINS,"""prospecting""","""prospecting"""
CM360,OMD,ES,ESAXA,placement,media_target,,,36,REGEXP_CONTAINS,"""_pros_""","""prospecting"""
CM360,OMD,ES,ESAXA,placement,media_target,,,39,REGEXP_CONTAINS,"""rtg""","""retargeting"""
CM360,OMD,ES,ESAXA,placement,media_target,,,38,REGEXP_CONTAINS,"""_ret_""","""retargeting"""
CM360,OMD,ES,ESAXA,placement,media_target,,,40,REGEXP_CONTAINS,"""retargeting""","""retargeting"""
CM360,OMD,ES,ESAXA,placement,product,,,1,REGEXP_CONTAINS,"""autonomos""","""self-employed insurance"""
CM360,Jakala,ES,ESALL,placement,creative_type,,,3,REGEXP_CONTAINS,"""banner""","""static-visual"""
